UniqueID,Company,Name,CustomerBusinessGroup,BusinessGroup,FinanceEnterpriseGroup,AccountingEntity,Currency,CurrencyNumberOfDecimals,CurrencyTable,Status,IntercompanyBilling,AutoTransactionNumbering,RequireHSNSACCode
0157c1d1-fdd2-0000-0000-31a057e97174,1,Metro Healthcare,1,1,1,1,USD,2,CORE,,TRUE,FALSE,FALSE
0157c1d1-fdd2-0000-0004-b17457e97174,2,Metro Children,1,1,1,2,USD,2,CORE,,TRUE,FALSE,FALSE
016013c3-85af-0000-0014-7d31538f85a8,3,Corporate,3,3,3,E1,USD,2,CORE,,FALSE,FALSE,FALSE
016013c3-85af-0000-0014-7d6c538f85a8,4,Memorial Hospital,3,3,3,E3,USD,2,CORE,,FALSE,FALSE,FALSE
016013c3-85af-0000-0014-7d8f538f85a8,5,Baptist Hospital,3,3,3,E4,USD,2,CORE,,FALSE,FALSE,FALSE
0161e807-e678-0000-0008-295c538f85a8,6,United Clinics,3,6,3,E5,USD,2,CORE,,FALSE,FALSE,FALSE
5b841bfc-d680-2040-0000-39655cfde981,100,Metropolitan Hospital,HC,HC,HC,100,USD,2,HC TABLE,,TRUE,FALSE,FALSE
5b841bfc-d680-2d00-0000-45095cfde981,200,Memorial,HC,HC,HC,200,USD,2,HC TABLE,,FALSE,FALSE,FALSE
5b841bfc-d680-ee80-0000-53035cfde981,210,Long Term Care,HC,HC,HC,210,USD,2,HC TABLE,,TRUE,FALSE,FALSE
5b841bfc-d680-6580-0000-5bd35cfde981,600,Canadian Hospital,HC,HC,HC,600,CAD,2,HC TABLE,,FALSE,FALSE,FALSE
