UniqueID,Company,InventoryLocation,InventoryTransaction,InventoryDocumentType,Reference1,Reference2,TransactionDate,GeneralLedgerDate,EstimatedDeliveryDate,InterfaceInProcess,OriginatingInterfaceRun,TransactionQuantityTotal,IntransitTransfer,Reprint,NumberOfCartons,LastLineNumber,FromToCompanyLocation.FromToCompany,FromToCompanyLocation.FromToLocation,FromToCompanyLocation.RequestingLocation,Status,IntransitReceivingStatus,RelatedVendorReturn,NumberOfLines,CurrencyTable,DefaultDistributionAccount.Ledger,DefaultDistributionAccount.ToAccountingEntity,DefaultDistributionAccount.AccountingUnit,DefaultDistributionAccount.GeneralLedgerChartAccount,DefaultDistributionAccount.Project,DefaultDistributionAccount.FinanceDimension1,DefaultDistributionAccount.FinanceDimension2,DefaultDistributionAccount.FinanceDimension3,DefaultDistributionAccount.FinanceDimension4,DefaultDistributionAccount.FinanceDimension5,DefaultDistributionAccount.FinanceDimension6,DefaultDistributionAccount.FinanceDimension7,DefaultDistributionAccount.FinanceDimension8,DefaultDistributionAccount.FinanceDimension9,DefaultDistributionAccount.FinanceDimension10,DefaultDistributionAccount.FinanceEnterpriseGroup,DefaultDistributionAccount.AccountingEntity,DefaultDistributionAccount.DimensionCode,DefaultDistributionAccount.OrganizationString
bfc95c36-c680-3a7a-0000-02fb5aefc7a5,1,DIST,234,AJ,,,"Thursday, 24 May 2018 20:27:56.00 PM",5/24/2018,,FALSE,0,5,FALSE,FALSE,0,1,0,,,1,0,0,1,CORE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::
bfc95c36-c680-e6ba-0000-12bc5aefc7a5,1,DIST,235,AJ,,,"Thursday, 24 May 2018 20:30:52.00 PM",5/24/2018,,FALSE,0,3,FALSE,FALSE,0,1,0,,,1,0,0,1,CORE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::
7cfb7f43-2680-b59c-0000-33395b54bc20,1,DIST,319,RT,,,"Friday, 27 July 2018 12:53:49.00 PM",7/27/2018,,FALSE,0,50,FALSE,FALSE,0,1,1,MAIN,,1,0,0,1,CORE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::
6bf2d777-f680-d980-0000-02435e30e014,1,DIST,392,RC,,,"Wednesday, 29 January 2020 22:31:10.41 PM",1/29/2020,,FALSE,0,100,FALSE,FALSE,0,1,0,,,1,0,0,1,CORE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::
880a6377-f680-c380-0000-0ba85e30d69b,1,DIST,394,PO,,,"Friday, 31 January 2020 04:06:27.14 AM",1/30/2020,,FALSE,0,10,FALSE,FALSE,0,0,0,,,1,0,0,1,CORE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::
0159b4cd-6f53-0000-0006-50c2538f85a8,1,MAIN,1,IS,,,"Thursday, 19 January 2017 21:57:34.00 PM",1/19/2017,,FALSE,0,2,FALSE,FALSE,0,1,1,OR,1E,1,0,0,1,CORE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::
0159b4cd-6f53-0000-0006-5c42538f85a8,1,MAIN,2,RC,,,"Thursday, 19 January 2017 22:01:41.00 PM",1/19/2017,,FALSE,0,100,FALSE,FALSE,0,1,0,,,1,0,0,1,CORE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::
015b6db7-ab91-0000-0004-7a96538f85a8,1,MAIN,3,PO,,,"Wednesday, 19 April 2017 02:29:32.00 AM",4/18/2017,,FALSE,0,10,FALSE,FALSE,0,0,0,,,1,0,0,1,CORE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::
015b6db7-ab91-0000-0004-7ab6538f85a8,1,MAIN,4,PO,,,"Wednesday, 19 April 2017 02:29:33.00 AM",4/18/2017,,FALSE,0,5,FALSE,FALSE,0,0,0,,,1,0,0,1,CORE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::
015ba696-7834-0000-0006-eb25538f85a8,1,MAIN,5,PO,,,"Tuesday, 02 May 2017 06:22:08.00 AM",5/2/2017,,FALSE,0,10,FALSE,FALSE,0,0,0,,,1,0,0,1,CORE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::
015ba696-7834-0000-0006-eb3f538f85a8,1,MAIN,6,PO,,,"Tuesday, 02 May 2017 06:22:10.00 AM",5/2/2017,,FALSE,0,100,FALSE,FALSE,0,0,0,,,1,0,0,1,CORE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::
015ba696-7834-0000-0006-eb5c538f85a8,1,MAIN,7,PO,,,"Tuesday, 02 May 2017 06:22:11.00 AM",5/2/2017,,FALSE,0,100,FALSE,FALSE,0,0,0,,,1,0,0,1,CORE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::
015ba696-7834-0000-0006-eb79538f85a8,1,MAIN,8,PO,,,"Tuesday, 02 May 2017 06:22:12.00 AM",5/2/2017,,FALSE,0,1000,FALSE,FALSE,0,0,0,,,1,0,0,1,CORE,,,,,,,,,,,,,,,,1,1,0000000000000000000000000000000000000000000000000000000000000000000000,::
