UniqueID,Company,InventoryLocation,Item,GeneralLedgerCategory,Buyer,DefaultTransactionUOM.UnitOfMeasure,DefaultTransactionUOM.Item,DefaultTransactionUOM.ItemType,DefaultTransactionUOM.ContractLine,DefaultTransactionUOM.TrackedIn,DefaultTransactionUOM.UOMConversion,DefaultTransactionUOM.PackingWeight,DefaultTransactionUOM.PackingVolume,PurchaseTaxable,PurchaseTaxCode,TaxableWhenSold,SellTaxCode,StandardCost,FutureStandardCost,StockOnHandQuantity,SecondaryQuantity,AllocatedQuantity,UnallocatedQuantity,BackorderedQuantity,InProcessQuantity,OnOrderQuantity,IntransitQuantity,WorkInProgressQuantity,InspectionHoldQuantity,MovementClass,MovementRank,StorageCode,PreferredBin,MinimumOrderQuantity,MaximumOrderQuantity,ReorderPolicy,ReorderDocument,ReorderQuantityCode,ReorderPointCode,ReorderQuantity,ReorderPoint,SuggestedReorderPoint,LeadtimeControl,LeadtimeDays,LastLeadtime,PreviousLeadtime,AutomaticPurchaseOrder,OrderMultiple,EconomicOrderQuantity,SafetyStock,Manufacturer.ManufacturerCode,Manufacturer.ManufacturerDivision,ManufacturerNumber,SelectForSpecialCycleCount,LastCountDate,ForecastNumber.ForecastYear,ForecastNumber.ForecastNumber,ForecastNumber.Quarter,PatientChargeable,InventoryTracked,BinTracked,AllowReceipt,AllowIssue,InspectionRequired,HasTransactionActivity,FrozenForPhysicalInventory,FreezeDate,LastIssueDate,LastUpdateDate,TransactionCounter,LastReceiptDate,LastTurnoverCalculationDate,MSDSDate,MSDSOrder,MSDSDocument,MSDSVersion,AverageStockOnHandQuantity,TurnoverRate,LastReceiptCost,LastIssueCost,AverageAddOnCost,AverageCost,OverheadUnitCost,MarketPrice,TransactionCount,CountAccuracy,AddedDate,Active,UserField1,UserField2,UserField3,UserFieldN1,UserFieldN2,UserFieldN3,ReceivingDays,Consignment,NoCharge,LotTracked,SerialTracked,UDITracked,DropshipPurchaseOrderForCustomerOrderLine,CreatePurchaseOrderForCustomerOrderLine,MaximumSaleQuantity,MinimumSaleQuantity,AllowCustomerOrderReturns,CustomerOrderReturnDate,DefaultSourceUOM.UnitOfMeasure,DefaultSourceUOM.Item,DefaultSourceUOM.ItemType,DefaultSourceUOM.ContractLine,DefaultSourceUOM.TrackedIn,DefaultSourceUOM.UOMConversion,DefaultSourceUOM.PackingWeight,DefaultSourceUOM.PackingVolume,GeographicalType,GeographicalLatitude,GeographicalLongitude,GeographicalAltitude,GeographicalDate,GlobalLineType,ChargeNumber,PreferredHoldBin,MaximumRequisitionQuantity,FromWorksheetResult,NumberOfBins,ManufacturerNumberStripped,ALLOCATION,DELETEDATE,DELETEFROMSTOCK,PARCOUNT,UserFieldMonMax,UserFieldMonRemain,VALUEANALYSISAPPROVED
08807282-e680-c630-0000-364a5bf8245a,1,10E,10003,COVI,0,EA,10003,,0,TRUE,1,0,0,,,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,12A,0,0,FOP,N,F,F,0,10,0,S,0,0,0,FALSE,1,0,0,BD,,305110,FALSE,,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,,"Thursday, 29 November 2018 01:20:41.00 AM",0,,,,FALSE,,,0,0,0,0,0,0,0,0,0,0,11/28/2018,TRUE,,,,0,0,0,0,FALSE,FALSE,N,N,,FALSE,FALSE,0,0,,,,10003,,0,FALSE,0,0,0,,0,0,0,,,,,0,0,0,305110,FALSE,,FALSE,0,0,0,FALSE
4b337c67-0e80-c440-0000-028c5e7030d8,1,10E,18,,0,EA,18,,0,TRUE,1,0,0,,,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,S2,0,0,FOP,N,F,F,0,5,0,S,0,0,0,FALSE,1,0,0,,,,FALSE,,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,,"Tuesday, 17 March 2020 23:20:37.16 PM",0,,,,FALSE,,,0,0,0,0,0,0,0,0,0,0,3/17/2020,TRUE,,,,0,0,0,0,FALSE,FALSE,R,N,,FALSE,FALSE,0,0,,,,18,,0,FALSE,0,0,0,,0,0,0,,,,,0,0,0,,FALSE,,FALSE,0,0,0,FALSE
67422ead-a680-3fae-0000-095d5b92cde4,1,10E,244,,0,EA,244,,0,TRUE,1,0,0,,,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,S1,0,0,FOP,N,F,F,0,12,0,S,0,0,0,FALSE,1,0,0,,,,FALSE,,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,,"Monday, 17 September 2018 10:58:44.00 AM",0,,,,FALSE,,,0,0,0,0,0,0,0,0,0,0,9/17/2018,TRUE,,,,0,0,0,0,FALSE,FALSE,N,N,,FALSE,FALSE,0,0,,,,244,,0,FALSE,0,0,0,,0,0,0,,,,,0,0,0,,FALSE,,FALSE,0,0,0,FALSE
95e9ec04-4e80-1040-0000-0d145ec0914c,1,10E,96,,0,BX,96,,0,TRUE,1,0,0,,,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,S3,0,0,FOP,N,F,F,0,15,0,S,0,0,0,FALSE,1,0,0,APO,,APO9000,FALSE,,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,,"Monday, 18 May 2020 21:13:47.76 PM",0,,,,FALSE,,,0,0,0,0,0,0,0,0,0,0,5/18/2020,TRUE,,,,0,0,0,0,FALSE,FALSE,N,N,N,FALSE,FALSE,0,0,,,,96,,0,FALSE,0,0,0,,0,0,0,,,,,0,0,0,APO9000,FALSE,,FALSE,0,0,0,FALSE
67422ead-a680-ab2e-0000-14105b92cde4,1,10N,246,,0,EA,246,,0,TRUE,1,0,0,,,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,S1,0,0,FOP,N,F,F,0,28,0,S,0,0,0,FALSE,1,0,0,,,,FALSE,,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,,"Monday, 17 September 2018 11:34:22.00 AM",0,,,,FALSE,,,0,0,0,0,0,0,0,0,0,0,9/17/2018,TRUE,,,,0,0,0,0,FALSE,FALSE,N,N,,FALSE,FALSE,0,0,,,,246,,0,FALSE,0,0,0,,0,0,0,,,,,0,0,0,,FALSE,,FALSE,0,0,0,FALSE
67422ead-a680-3fae-0000-0ba35b92cde4,1,10S,248,,0,EA,248,,0,TRUE,1,0,0,,,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,S1,0,0,FOP,N,F,F,0,19,0,S,0,0,0,FALSE,1,0,0,,,,FALSE,,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,,"Monday, 17 September 2018 11:36:47.00 AM",0,,,,FALSE,,,0,0,0,0,0,0,0,0,0,0,9/17/2018,TRUE,,,,0,0,0,0,FALSE,FALSE,N,N,,FALSE,FALSE,0,0,,,,248,,0,FALSE,0,0,0,,0,0,0,,,,,0,0,0,,FALSE,,FALSE,0,0,0,FALSE
67422ead-a680-196e-0000-0ae25b92cde4,1,10W,250,,0,EA,250,,0,TRUE,1,0,0,,,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,S1,0,0,FOP,N,F,F,0,25,0,S,0,0,0,FALSE,1,0,0,,,,FALSE,,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,,"Monday, 17 September 2018 11:42:52.00 AM",0,,,,FALSE,,,0,0,0,0,0,0,0,0,0,0,9/17/2018,TRUE,,,,0,0,0,0,FALSE,FALSE,N,N,,FALSE,FALSE,0,0,,,,250,,0,FALSE,0,0,0,,0,0,0,,,,,0,0,0,,FALSE,,FALSE,0,0,0,FALSE
67422ead-a680-01ce-0000-18a95b92cde4,1,11E,245,,0,EA,245,,0,TRUE,1,0,0,,,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,S1,0,0,FOP,N,F,F,0,10,0,S,0,0,0,FALSE,1,0,0,,,,FALSE,,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,,"Monday, 17 September 2018 11:33:26.00 AM",0,,,,FALSE,,,0,0,0,0,0,0,0,0,0,0,9/17/2018,TRUE,,,,0,0,0,0,FALSE,FALSE,N,N,,FALSE,FALSE,0,0,,,,245,,0,FALSE,0,0,0,,0,0,0,,,,,0,0,0,,FALSE,,FALSE,0,0,0,FALSE
95e9ec04-4e80-6040-0000-0ae75ec0914c,1,11E,96,,0,BX,96,,0,TRUE,1,0,0,,,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,S4,0,0,FOP,N,F,F,0,10,0,S,0,0,0,FALSE,1,0,0,APO,,APO9000,FALSE,,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,,"Monday, 18 May 2020 21:15:09.33 PM",0,,,,FALSE,,,0,0,0,0,0,0,0,0,0,0,5/18/2020,TRUE,,,,0,0,0,0,FALSE,FALSE,N,N,N,FALSE,FALSE,0,0,,,,96,,0,FALSE,0,0,0,,0,0,0,,,,,0,0,0,APO9000,FALSE,,FALSE,0,0,0,FALSE
67422ead-a680-01ce-0000-18d75b92cde4,1,11N,247,,0,EA,247,,0,TRUE,1,0,0,,,FALSE,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,S1,0,0,FOP,N,F,F,0,15,0,S,0,0,0,FALSE,1,0,0,,,,FALSE,,0,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,,"Monday, 17 September 2018 11:35:53.00 AM",0,,,,FALSE,,,0,0,0,0,0,0,0,0,0,0,9/17/2018,TRUE,,,,0,0,0,0,FALSE,FALSE,N,N,,FALSE,FALSE,0,0,,,,247,,0,FALSE,0,0,0,,0,0,0,,,,,0,0,0,,FALSE,,FALSE,0,0,0,FALSE
