UniqueID,Company,ReceivablePaymentHeader,ReceivablePayment,Status,Customer,BankEntity,BankAccountNumber,GeneralLedgerDate,TypeOfPayment,PaymentNumber,LastApplicationSequence,LastRemittanceSequence,LastDistributionSequence,ReceivableProcessLevel,CancelDate,TransferredToCustomer,CashCode,ReceivedNotAppliedReceivableGeneralLedgerCode,OriginalCurrency,CurrencyRate,DepositDate,TransactionAmount,BaseAmount,BalancingDistributionAmountCompanyCurrency,CurrencyRateToCustomerGroupCurrency,CustomerGroupCurrencyMultiplicationOrDivision,LastStatementDate,AppliedAmount,BaseAppliedAmount,ReferenceNumber,ReferenceType,CurrencyDecimalsNumber,Prepayment,CreditAppliedAmount,BaseCreditAppliedAmount,AdjustAmountTransactionCurrency,BaseAdjustAmount,CurrencyMultiplicationOrDivision,TransactionHistoryPeriods,LastSelectApplicationSequence,LastFinanceChargeDate,ReceivableOperator,FinanceDimension2,Project,ProjectContract,TransferDate,NationalAccountLastStatementDate,TransferredFromCustomer,TransferAmountTransactionCurrency,Origin,ContractRebateGroup.ContractGroup,ContractRebateGroup.Contract,ContractRebateGroup.ContractRebateType,ContractRebateGroup.ContractRebateDue,OriginatingInterfaceRun,MandateID,MandateType,OriginatingICBSettlement.BusinessClassName,OriginatingICBSettlement.BusinessObjectKey,OriginatingICBSettlement.SymbolicKeyText,BackgroundProcessing
015be985-3f33-0000-0000-50b6538f85a8,1,5,1,7,2,,,1/30/2016,P,CHK4544,60,0,0,1,,0,100,RNA,USD,1,1/30/2016,2722,2722,0,1,M,6/30/2016,8284.6,8284.6,,,2,0,5562.6,5562.6,0,0,M,0,0,,,100,,2_FG,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
015be985-3f33-0000-0004-25ad538f85a8,1,6,1,0,2,,,5/10/2017,P,CHK4441,5,0,0,1,,0,100,RNA,USD,1,5/10/2017,12400,12400,0,1,M,,0,0,,,2,0,0,0,0,0,M,0,0,,,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
015e3f1d-6f33-0000-006e-27b8538f85a8,1,6,2,0,2,,,5/10/2017,P,CHK3214,3,0,0,1,,0,100,RNA,USD,1,5/10/2017,500,500,0,1,M,,500,500,,,2,0,0,0,0,0,M,0,0,,,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
015e3f1d-6f33-0000-003b-6e96538f85a8,1,8,1,7,2,,,9/18/2017,P,62487,1,0,0,1,,0,100,RNA,USD,1,9/18/2017,14.15,14.15,0,1,M,,14.15,14.15,,,2,0,0,0,0,0,M,0,0,,inforhc6,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
015ef49e-b7c0-0000-0007-40d4538f85a8,1,10,1,0,1,,,10/9/2017,P,LOC1A,1,0,0,1,,0,100,RNA,USD,1,10/9/2017,120,120,0,1,M,,120,120,,,2,0,0,0,0,0,M,0,0,,inforhc4,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
015ef49e-b7c0-0000-0038-b391538f85a8,1,11,1,0,1,,,10/16/2017,P,CHK1016,8,0,0,1,,0,100,RNA,USD,1,10/16/2017,2000,2000,0,1,M,,2000,2000,,,2,0,0,0,0,0,M,0,0,,inforhc1,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
015ef49e-b7c0-0000-0038-ee2b538f85a8,1,12,1,0,2,,,10/16/2017,P,CHK0425,3,0,0,1,,0,100,RNA,USD,1,10/16/2017,50000,50000,0,1,M,,0,0,,,2,0,0,0,0,0,M,0,0,,inforhc1,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
015ef49e-b7c0-0000-0038-ee30538f85a8,1,12,2,0,0,,,10/16/2017,N,NAR0425,0,0,0,1,,0,100,RNA,USD,1,10/16/2017,150,150,150,1,M,,0,0,,,2,0,0,0,0,0,M,0,0,,inforhc1,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
45bbc51c-c680-8e76-0000-1d585aefc7a5,1,12,3,0,0,,,10/16/2017,P,NAR0425,0,0,0,1,,0,100,RNA,USD,1,10/16/2017,150,150,150,1,M,,0,0,,,2,0,0,0,0,0,M,0,0,,inforhc1,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
0161477c-04d4-0000-0004-61e0538f85a8,1,14,1,0,3,,,1/30/2018,P,PMT131,3,0,0,1,,0,100,RNA,USD,1,1/30/2018,2753,2753,0,1,M,,0,0,,,2,0,0,0,0,0,M,0,0,,inforhc4,,,,,,0,0,,,0,,,0,,,,00000000-0000-0000-0000-000000000000,,0
